Category;Brand;Name;Pricing;Shipping;Payment
TV;LG;LG OLED65C8 (65", 4K, OLED);2399;no;cash
TV;Samsung;Samsung QE55Q6FN (55", 4K, QLED, LCD);979;no;transfer
TV;Samsung;Samsung QE65Q6FN (65", 4K, QLED, LCD);1000;yes;transfer
TV;LG;LG OLED55C8 (55", 4K, OLED);1399;no;transfer
TV;Samsung;Samsung The Frame UE55LS03N (55", 4K, LCD);1499;no;transfer
TV;Samsung;Samsung UE55NU7400 (55", 4K, LCD);699;no;transfer
Phone;Apple;Apple iPhone SE (4", 128GB, 12MP, Space Gray);699;yes;visa
Phone;Apple;Apple iPhone 8 (4.70", 64GB, 12MP, Space Gray);634;yes;visa
Computer;HP;HP ProBook 470 G5 (17.30", Full HD, Intel Core i7-8550U, 16GB, SSD);1299;yes;visa
Computer;HP;HP ProBook 470 G5 (17.30", Full HD, Intel Core i5-8250U, 16GB, SSD);1099;yes;visa
Computer;Apple;Apple MacBook Pro Silver (13.30", Retina, Intel Core i5, 8GB, SSD);999;no;transfer
Computer;Lenovo;ThinkPad E580 (15.60", Full HD, Intel Core i5-8250U, 8GB, SSD);749;no;cash
Computer;Dell;Dell XPS 13 9370-G10YM Touch (13.30", UHD, Intel Core i7-8550U, 16GB, SSD);1699;yes;transfer
Computer;Apple;Apple MacBook Pro Silver (13.30", Retina, Intel Core i5, 8GB, SSD);1249;yes;visa
